total_account_count,total_income,total_product_count,total_profit,CA,AE,SG,AU,JP,SA,MX,active_months,status_code,packages_encoded,registration_source_encoded
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,0,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
0,0,0,0,0,0,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,1,0,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
10,203982,11020,8978,1,1,0,1,1,1,1,46,0,2,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
2,0,0,0,0,0,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,46,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,1,0,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
5,619,0,0,1,1,1,1,0,0,1,45,1,0,3
1,2032,0,0,0,1,0,0,0,0,0,45,1,0,3
5,2749,0,0,1,1,1,0,0,0,1,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,1,0,0,0,0,0,0,45,1,0,3
2,0,0,0,0,0,1,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,7145,0,0,0,0,0,1,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
0,0,0,0,0,0,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
2,26269,3436,69,0,1,1,0,0,0,0,45,1,0,3
1,0,0,0,1,0,0,0,0,0,0,45,1,0,3
2,324200,0,269,1,1,0,0,0,0,0,45,1,0,3
3,0,0,0,1,1,0,0,0,0,1,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,0,0,1,0,0,0,45,1,0,3
2,4936,0,0,0,0,1,1,0,0,0,45,1,0,3
1,1344,0,0,0,0,1,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
3,0,0,0,1,1,0,0,0,0,1,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
2,0,0,0,0,1,1,0,0,0,0,45,1,0,3
0,0,0,0,0,0,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,45,1,0,3
3,784,0,0,1,1,1,0,0,0,0,45,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,0,0,1,0,0,0,44,1,0,3
1,0,0,0,0,0,0,1,0,0,0,44,1,0,3
3,2558,0,0,1,1,1,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,0,0,0,0,0,0,44,1,0,3
1,0,17,0,0,0,1,0,0,0,0,44,0,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,0,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,0,1,0,0,0,0,44,1,0,3
0,0,0,0,0,0,0,0,0,0,0,44,1,0,3
1,0,0,0,0,0,1,0,0,0,0,44,1,0,3
2,0,0,0,1,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,1,0,0,0,0,0,0,44,1,0,3
3,0,0,0,0,1,1,1,0,0,0,44,1,0,3
4,25702,0,80,1,1,1,0,0,0,1,44,1,0,3
1,0,0,0,1,0,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
3,0,0,0,1,1,0,0,0,0,1,44,1,0,3
1,0,0,0,0,0,0,1,0,0,0,44,1,0,3
1,0,0,0,0,0,1,0,0,0,0,44,1,0,3
1,0,0,0,0,0,0,0,0,0,0,44,1,0,3
2,21247,25773,3403,0,0,0,0,1,0,1,44,1,3,3
